prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
local-plan,,,,government-organisation:D1342,south-gloucestershire-council-new-local-plan,4220894,,,
local-plan,,,,government-organisation:D1342,south-hams-district-council-new-local-plan,4220895,,,
local-plan,,,,government-organisation:D1342,south-holland-district-council-new-local-plan,4220896,,,
local-plan,,,,government-organisation:D1342,south-kesteven-district-council-new-local-plan,4220897,,,
local-plan,,,,government-organisation:D1342,south-norfolk-district-council-new-local-plan,4220898,,,
local-plan,,,,government-organisation:D1342,south-oxfordshire-district-council-new-local-plan,4220899,,,
local-plan,,,,government-organisation:D1342,south-ribble-borough-council-new-local-plan,4220900,,,
local-plan,,,,government-organisation:D1342,south-staffordshire-council-new-local-plan,4220901,,,
local-plan,,,,government-organisation:D1342,south-tees-development-corporation-new-local-plan,4220902,,,
local-plan,,,,government-organisation:D1342,south-tyneside-council-new-local-plan,4220903,,,
local-plan,,,,government-organisation:D1342,southampton-city-council-new-local-plan,4220904,,,
local-plan,,,,government-organisation:D1342,southend-on-sea-borough-council-new-local-plan,4220905,,,
local-plan,,,,government-organisation:D1342,spelthorne-borough-council-new-local-plan,4220906,,,
local-plan,,,,government-organisation:D1342,st-albans-city-and-district-council-new-local-plan,4220907,,,
local-plan,,,,government-organisation:D1342,st-helens-council-new-local-plan,4220908,,,
local-plan,,,,government-organisation:D1342,stafford-borough-council-new-local-plan,4220909,,,
local-plan,,,,government-organisation:D1342,staffordshire-moorlands-district-council-new-local-plan,4220910,,,
local-plan,,,,government-organisation:D1342,stevenage-borough-council-new-local-plan,4220911,,,
local-plan,,,,government-organisation:D1342,stockport-metropolitan-borough-council-new-local-plan,4220912,,,
local-plan,,,,government-organisation:D1342,stockton-on-tees-borough-council-new-local-plan,4220913,,,
local-plan,,,,government-organisation:D1342,stoke-on-trent-city-council-new-local-plan,4220914,,,
local-plan,,,,government-organisation:D1342,stratford-on-avon-district-council-new-local-plan,4220915,,,
local-plan,,,,government-organisation:D1342,stroud-district-council-new-local-plan,4220916,,,
local-plan,,,,government-organisation:D1342,sunderland-city-council-new-local-plan,4220917,,,
local-plan,,,,government-organisation:D1342,surrey-heath-borough-council-new-local-plan,4220918,,,
local-plan,,,,government-organisation:D1342,swale-borough-council-new-local-plan,4220919,,,
local-plan,,,,government-organisation:D1342,swindon-borough-council-new-local-plan,4220920,,,
local-plan,,,,government-organisation:D1342,tameside-metropolitan-borough-council-new-local-plan,4220921,,,
local-plan,,,,government-organisation:D1342,tamworth-borough-council-new-local-plan,4220922,,,
local-plan,,,,government-organisation:D1342,tandridge-district-council-new-local-plan,4220923,,,
local-plan,,,,government-organisation:D1342,teignbridge-district-council-new-local-plan,4220924,,,
local-plan,,,,government-organisation:D1342,telford-and-wrekin-council-new-local-plan,4220925,,,
local-plan,,,,government-organisation:D1342,tendring-district-council-new-local-plan,4220926,,,
local-plan,,,,government-organisation:D1342,test-valley-borough-council-new-local-plan,4220927,,,
local-plan,,,,government-organisation:D1342,tewkesbury-borough-council-new-local-plan,4220928,,,
local-plan,,,,government-organisation:D1342,thanet-district-council-new-local-plan,4220929,,,
local-plan,,,,government-organisation:D1342,three-rivers-district-council-new-local-plan,4220930,,,
local-plan,,,,government-organisation:D1342,thurrock-council-new-local-plan,4220931,,,
local-plan,,,,government-organisation:D1342,tonbridge-and-malling-borough-council-new-local-plan,4220932,,,
local-plan,,,,government-organisation:D1342,torbay-council-new-local-plan,4220933,,,
local-plan,,,,government-organisation:D1342,torridge-district-council-new-local-plan,4220934,,,
local-plan,,,,government-organisation:D1342,trafford-metropolitan-borough-council-new-local-plan,4220935,,,
local-plan,,,,government-organisation:D1342,tunbridge-wells-borough-council-new-local-plan,4220936,,,
local-plan,,,,government-organisation:D1342,uttlesford-district-council-new-local-plan,4220937,,,
local-plan,,,,government-organisation:D1342,vale-of-white-horse-district-council-new-local-plan,4220938,,,
local-plan,,,,government-organisation:D1342,wakefield-metropolitan-district-council-new-local-plan,4220939,,,
local-plan,,,,government-organisation:D1342,walsall-metropolitan-borough-council-new-local-plan,4220940,,,
local-plan,,,,government-organisation:D1342,warrington-borough-council-new-local-plan,4220941,,,
local-plan,,,,government-organisation:D1342,warwick-district-council-new-local-plan,4220942,,,
local-plan,,,,government-organisation:D1342,watford-borough-council-new-local-plan,4220943,,,
local-plan,,,,government-organisation:D1342,waverley-borough-council-new-local-plan,4220944,,,
local-plan,,,,government-organisation:D1342,wealden-district-council-new-local-plan,4220945,,,
local-plan,,,,government-organisation:D1342,welwyn-hatfield-borough-council-new-local-plan,4220946,,,
local-plan,,,,government-organisation:D1342,west-berkshire-council-new-local-plan,4220947,,,
local-plan,,,,government-organisation:D1342,west-devon-borough-council-new-local-plan,4220948,,,
local-plan,,,,government-organisation:D1342,west-lancashire-borough-council-new-local-plan,4220949,,,
local-plan,,,,government-organisation:D1342,west-lindsey-district-council-new-local-plan,4220950,,,
local-plan,,,,government-organisation:D1342,west-northamptonshire-council-new-local-plan,4220951,,,
local-plan,,,,government-organisation:D1342,west-oxfordshire-district-council-new-local-plan,4220952,,,
local-plan,,,,government-organisation:D1342,west-suffolk-council-new-local-plan,4220953,,,
local-plan,,,,government-organisation:D1342,westmorland-and-furness-council-new-local-plan,4220954,,,
local-plan,,,,government-organisation:D1342,wigan-metropolitan-borough-council-new-local-plan,4220955,,,
local-plan,,,,government-organisation:D1342,wiltshire-council-new-local-plan,4220956,,,
local-plan,,,,government-organisation:D1342,winchester-city-council-new-local-plan,4220957,,,
local-plan,,,,government-organisation:D1342,wirral-borough-council-new-local-plan,4220958,,,
local-plan,,,,government-organisation:D1342,woking-borough-council-new-local-plan,4220959,,,
local-plan,,,,government-organisation:D1342,wokingham-borough-council-new-local-plan,4220960,,,
local-plan,,,,government-organisation:D1342,worcester-city-council-new-local-plan,4220961,,,
local-plan,,,,government-organisation:D1342,worthing-borough-council-new-local-plan,4220962,,,
local-plan,,,,government-organisation:D1342,wychavon-district-council-new-local-plan,4220963,,,
local-plan,,,,government-organisation:D1342,wyre-borough-council-new-local-plan,4220964,,,
local-plan,,,,government-organisation:D1342,wyre-forest-district-council-new-local-plan,4220965,,,
local-plan,,,,government-organisation:D1342,yorkshire-dales-national-park-authority-new-local-plan,4220966,,,
